num_training_steps,avg_reward,algorithm
704512.0,-0.8050067446599182,PPO
376832.0,-0.8758595364634479,PPO
1687552.0,-0.7655498421357751,PPO
1228800.0,-0.818665880317629,PPO
1310720.0,-0.6638709467987708,PPO
163840.0,-0.8315998275140456,PPO
4096.0,-1.1207672684796457,PPO
393216.0,-0.9152004218660796,PPO
573440.0,-0.7220621979158843,PPO
868352.0,-0.7882786840231133,PPO
1753088.0,-0.7825836522736255,PPO
950272.0,-0.720052241540398,PPO
737280.0,-0.8187996766768147,PPO
442368.0,-0.894568573503273,PPO
786432.0,-0.7401375662148544,PPO
1802240.0,-0.6880098744564733,PPO
655360.0,-0.7207645243961756,PPO
294912.0,-0.8485943451494553,PPO
1359872.0,-0.8609643960692327,PPO
1114112.0,-0.8688399315898504,PPO
425984.0,-0.9106810097819582,PPO
278528.0,-0.9428638162119176,PPO
1867776.0,-0.8011998771774829,PPO
98304.0,-0.9781428633629085,PPO
1703936.0,-0.6119731503701946,PPO
16384.0,-1.0067987590520182,PPO
1048576.0,-0.7439069640020854,PPO
1081344.0,-0.6894483796148569,PPO
1540096.0,-0.5519615256299442,PPO
1425408.0,-0.6889827989810707,PPO
262144.0,-1.0896848197401736,PPO
901120.0,-0.8195869639925981,PPO
1474560.0,-0.7311392988901256,PPO
1441792.0,-0.7238523950452237,PPO
1851392.0,-0.6906082315718086,PPO
1998848.0,-0.7300598996470449,PPO
1572864.0,-0.6581768071532287,PPO
884736.0,-0.7840226037719142,PPO
32768.0,-0.9497829767995962,PPO
557056.0,-0.8340941175765139,PPO
49152.0,-1.0532191017841053,PPO
851968.0,-0.8938545489479353,PPO
1458176.0,-0.7382786821155696,PPO
2015232.0,-0.7946618651441257,PPO
1736704.0,-0.7307335891384861,PPO
622592.0,-0.744971325504669,PPO
458752.0,-0.8078877041263388,PPO
819200.0,-0.7610191805730312,PPO
1015808.0,-0.751402204145305,PPO
671744.0,-0.7180325592682724,PPO
311296.0,-0.9524438081094638,PPO
65536.0,-1.0246960782436374,PPO
1146880.0,-0.8949925002990813,PPO
1409024.0,-0.8163119746546207,PPO
1589248.0,-0.7645827154412593,PPO
1638400.0,-0.6355335132084353,PPO
1277952.0,-0.7428341637388692,PPO
1818624.0,-0.6511265051172405,PPO
770048.0,-0.8229483247107927,PPO
327680.0,-0.812910261295634,PPO
344064.0,-0.8394447302349215,PPO
212992.0,-0.9188496313041428,PPO
1966080.0,-0.8417138566560187,PPO
1507328.0,-0.6152860218160445,PPO
1343488.0,-0.6741644322840691,PPO
933888.0,-0.7802808224101213,PPO
606208.0,-0.828673858425659,PPO
1261568.0,-0.7561672967782568,PPO
1196032.0,-0.7619550675952428,PPO
131072.0,-0.9924628569656896,PPO
229376.0,-0.9558303587587316,PPO
1785856.0,-0.7170111372252198,PPO
1392640.0,-0.7725125757125152,PPO
1605632.0,-0.7764657290854429,PPO
180224.0,-0.9708017872043756,PPO
966656.0,-0.7857873272238833,PPO
753664.0,-0.8129817924661057,PPO
917504.0,-0.8843933019488831,PPO
1245184.0,-0.8182059934126571,PPO
1654784.0,-0.7272779110601725,PPO
507904.0,-0.8485452228706488,PPO
1671168.0,-0.694700504429181,PPO
1933312.0,-0.739335381948573,PPO
1490944.0,-0.7516734359181056,PPO
1523712.0,-0.6594504347258042,PPO
1769472.0,-0.8249889818205333,PPO
147456.0,-0.98271802199631,PPO
720896.0,-0.7356469105424172,PPO
1720320.0,-0.7543358484182937,PPO
1884160.0,-0.5923260878392552,PPO
81920.0,-0.9911893235898752,PPO
1835008.0,-0.7406786651391737,PPO
589824.0,-0.8475191741854219,PPO
1163264.0,-0.7396076641355035,PPO
491520.0,-0.7318854611806812,PPO
475136.0,-0.6865139648384434,PPO
1327104.0,-0.6676710377512153,PPO
1179648.0,-0.8287823041504041,PPO
688128.0,-0.7636764017227925,PPO
1212416.0,-0.7541936218164363,PPO
360448.0,-0.9187872794642664,PPO
1130496.0,-0.7184851895862188,PPO
1622016.0,-0.6234611124295021,PPO
114688.0,-0.9555083959533698,PPO
1097728.0,-0.7831279627743855,PPO
540672.0,-0.8081293092859719,PPO
409600.0,-0.943895334876532,PPO
1032192.0,-0.8764853987105926,PPO
1376256.0,-0.8730511281235194,PPO
802816.0,-0.7376457090275248,PPO
1556480.0,-0.6072588104348936,PPO
835584.0,-0.7914557855588427,PPO
245760.0,-0.935893563980932,PPO
196608.0,-0.8727263571108209,PPO
1916928.0,-0.8512241958924456,PPO
999424.0,-0.7485836117643351,PPO
1949696.0,-0.8614971057788842,PPO
524288.0,-0.7926824435924275,PPO
1064960.0,-0.7335592061515573,PPO
1900544.0,-0.6848635241863534,PPO
1294336.0,-0.7132582279885038,PPO
983040.0,-0.663861684363862,PPO
1982464.0,-0.7990438608772119,PPO
638976.0,-0.8660848138498196,PPO
704512.0,-1.2526858276177275,A2C
376832.0,-1.211392743111988,A2C
1687552.0,-1.2265899051571365,A2C
1228800.0,-1.2497541004397232,A2C
1310720.0,-1.284472024528473,A2C
163840.0,-1.1914907593815474,A2C
4096.0,-1.1427104748254842,A2C
393216.0,-1.1866396583160468,A2C
573440.0,-1.1824935962929148,A2C
868352.0,-1.1862821397392584,A2C
1753088.0,-1.262712376000925,A2C
950272.0,-1.2031175158910663,A2C
737280.0,-1.2172941764670566,A2C
442368.0,-1.2687209532698305,A2C
786432.0,-1.26081015322046,A2C
1802240.0,-1.269369874772425,A2C
655360.0,-1.2861520782228797,A2C
294912.0,-1.229209636587881,A2C
1359872.0,-1.2196015045708202,A2C
1114112.0,-1.198534039092817,A2C
425984.0,-1.207141469701269,A2C
278528.0,-1.2295468088357828,A2C
1867776.0,-1.2930995373121106,A2C
98304.0,-1.1683391883678491,A2C
1703936.0,-1.1912516955425567,A2C
16384.0,-1.1333393276361163,A2C
1048576.0,-1.1822776148007208,A2C
1081344.0,-1.2425389326074008,A2C
1540096.0,-1.175718743284682,A2C
1425408.0,-1.308420653425071,A2C
262144.0,-1.251103692810115,A2C
901120.0,-1.1714665491895546,A2C
1474560.0,-1.2726217925678924,A2C
1441792.0,-1.2734321652351823,A2C
1851392.0,-1.225388778577909,A2C
1998848.0,-1.3025923847979153,A2C
1572864.0,-1.1644992634954905,A2C
884736.0,-1.1638996430750888,A2C
32768.0,-1.142484614274784,A2C
557056.0,-1.16239152962639,A2C
49152.0,-1.1772763065456302,A2C
851968.0,-1.1974880548768052,A2C
1458176.0,-1.2520862834959423,A2C
2015232.0,-1.2631739535442017,A2C
1736704.0,-1.2832608852161589,A2C
622592.0,-1.197847716425216,A2C
458752.0,-1.2441428601928997,A2C
819200.0,-1.237749017277073,A2C
1015808.0,-1.2251278764525506,A2C
671744.0,-1.2570400145764504,A2C
311296.0,-1.1856900480705266,A2C
65536.0,-1.2563977506613309,A2C
1146880.0,-1.1991260461770503,A2C
1409024.0,-1.2314224930890174,A2C
1589248.0,-1.1975252125524585,A2C
1638400.0,-1.2160698703755577,A2C
1277952.0,-1.1531938754596711,A2C
1818624.0,-1.1776516397796664,A2C
770048.0,-1.1848311997807768,A2C
327680.0,-1.2623625648163082,A2C
344064.0,-1.239615704669508,A2C
212992.0,-1.1054270797001653,A2C
1966080.0,-1.330455233222497,A2C
1507328.0,-1.219876015282929,A2C
1343488.0,-1.224208386587557,A2C
933888.0,-1.213788847808768,A2C
606208.0,-1.2544302045987754,A2C
1261568.0,-1.2289741897302238,A2C
1196032.0,-1.3009901780816795,A2C
131072.0,-1.139996959355864,A2C
229376.0,-1.0758162740481678,A2C
1785856.0,-1.2615433940154148,A2C
1392640.0,-1.247260015777448,A2C
1605632.0,-1.2915143488278504,A2C
180224.0,-1.131975481559572,A2C
966656.0,-1.2179203088197468,A2C
753664.0,-1.2678968219587368,A2C
917504.0,-1.2565364912027517,A2C
1245184.0,-1.1850917839999788,A2C
1654784.0,-1.3046316983723996,A2C
507904.0,-1.195565404055294,A2C
1671168.0,-1.2215046083279646,A2C
1933312.0,-1.2384156677046507,A2C
1490944.0,-1.247213766982558,A2C
1523712.0,-1.247242326320371,A2C
1769472.0,-1.3081116372391306,A2C
147456.0,-1.099381471819968,A2C
720896.0,-1.1547596244918636,A2C
1720320.0,-1.2353972378254758,A2C
1884160.0,-1.1792320434399812,A2C
81920.0,-1.1584379452634757,A2C
1835008.0,-1.1665218115617249,A2C
589824.0,-1.252333861201478,A2C
1163264.0,-1.1639461920033387,A2C
491520.0,-1.2294230753516215,A2C
475136.0,-1.1353966162103528,A2C
1327104.0,-1.235219214030591,A2C
1179648.0,-1.2343416771310367,A2C
688128.0,-1.257841169987971,A2C
1212416.0,-1.171825067899225,A2C
360448.0,-1.2417417342011532,A2C
1130496.0,-1.2536057515428007,A2C
1622016.0,-1.2712063154119142,A2C
114688.0,-1.1669040903998118,A2C
1097728.0,-1.3129214233019375,A2C
540672.0,-1.219267215502412,A2C
409600.0,-1.2421922737960502,A2C
1032192.0,-1.225192235732177,A2C
1376256.0,-1.2308349902062587,A2C
802816.0,-1.248350475434036,A2C
1556480.0,-1.193494586912781,A2C
835584.0,-1.26437250518469,A2C
245760.0,-1.1247066845285474,A2C
196608.0,-1.1609346400862612,A2C
1916928.0,-1.249128294462827,A2C
999424.0,-1.1470813683593972,A2C
1949696.0,-1.2328407841453566,A2C
524288.0,-1.2025194958060448,A2C
1064960.0,-1.3159902384940856,A2C
1900544.0,-1.2700228514903815,A2C
1294336.0,-1.244223087594639,A2C
983040.0,-1.173710318818702,A2C
1982464.0,-1.1826922538680242,A2C
638976.0,-1.2102076368639003,A2C
