num_training_steps,avg_reward
1419500.0,-2.2356665346851265
1155500.0,-3.038719688374307
1287500.0,-2.3227427164236274
215000.0,-2.427125918304823
1040000.0,-0.9523899518747831
1964000.0,-0.005224246789589722
1518500.0,-0.0034668121421844527
1815500.0,0.001775287693650471
264500.0,-0.028978547017704446
479000.0,-1.4915224256504027
165500.0,-1.4830742643476824
1304000.0,-2.503045176850426
1337000.0,-2.273364578279847
1370000.0,0.002899123485132334
1700000.0,-2.5471005043751727
413000.0,-0.007352308319487959
1238000.0,-1.1590486439005172
1667000.0,-2.3633268835829186
1386500.0,0.0014782070901772312
693500.0,-0.00847647785301909
297500.0,-0.00847647785301909
512000.0,-1.4945578231923593
1716500.0,-2.371779025493319
957500.0,-0.0033961110575401925
83000.0,-1.780441441395884
495500.0,-1.4945578231923593
182000.0,-2.4294408408029127
1007000.0,-1.6433305902085127
17000.0,-1.494559508502532
1551500.0,0.0013619514917823173
1980500.0,-0.020525993001839514
198500.0,-2.4294408451797636
231500.0,-0.022768712095623193
396500.0,-0.008216680910163908
990500.0,-0.8878514797644023
1947500.0,-1.4464138813049232
726500.0,-0.008476246084684879
380000.0,-0.008476477815567119
314000.0,-0.00847647785301909
363500.0,-0.00847647785301909
561500.0,-1.4966913110195974
611000.0,-0.008554133051896706
50000.0,-1.6497248585540518
545000.0,-1.4945578231923593
1320500.0,-2.5468315562042436
132500.0,-0.0491291505528422
1634000.0,-2.3041707149615958
281000.0,0.0022566385925558248
1914500.0,-1.4534606439461668
1881500.0,-1.5255593488113481
1535000.0,0.004423863685107029
66500.0,-2.798020982618687
1601000.0,-2.503821540553551
1485500.0,0.0029677567943959533
1898000.0,-1.428372252426216
446000.0,-0.004237502869904057
33500.0,-1.4945577728400579
792500.0,-0.00847647785301909
1766000.0,-2.6559365020979673
809000.0,-0.00847647785301909
677000.0,-0.008488646439747694
1650500.0,-2.148236733504283
1733000.0,-2.5685287998257396
1683500.0,-2.338020851952501
1584500.0,0.0021485570544255987
1931000.0,-1.4383487670069828
1172000.0,-0.0039236537588237105
594500.0,-0.48281792638947413
149000.0,-2.4294408408029127
1271000.0,-2.5512535844197908
500.0,-1.5713258935670416
660500.0,-0.008108674586651666
1403000.0,-0.8311378046211211
1452500.0,-1.5825843229878436
1089500.0,0.002161332343741481
1469000.0,0.00225404799728161
116000.0,-2.396487291566162
1502000.0,0.0006694291953541527
858500.0,-0.00847647785301909
1848500.0,0.0013359095434853719
710000.0,-0.002027842096808629
1799000.0,0.0027630469805333107
1782500.0,0.00246992232847218
429500.0,-0.007342535170057195
974000.0,-1.5446658259103085
1832000.0,-2.337427172048828
347000.0,-0.00784173986372428
743000.0,-0.00847647785301909
1073000.0,-0.004334867442767618
891500.0,-0.00847647785301909
1122500.0,0.0015049448678589824
1205000.0,-3.035984254148067
1188500.0,0.0008899361413398101
875000.0,-0.00847647785301909
842000.0,-0.00847647785301909
1221500.0,-1.6791900251942713
908000.0,-0.00847647785301909
627500.0,-0.008646039568432221
1749500.0,-2.507605123984463
1139000.0,-1.930014362171614
1353500.0,-1.5708496306605075
924500.0,-0.008483027106196205
941000.0,-0.00842374272421095
759500.0,-0.00847647785301909
1865000.0,0.0023593234311260593
1997000.0,-0.8954876822910918
528500.0,-1.4945578231923593
2013500.0,0.003943794803337749
1023500.0,-1.5505034824385118
462500.0,-0.006113308122043788
248000.0,-2.4294408408029127
99500.0,-1.6241795588381713
578000.0,-1.4991898313382765
330500.0,-0.00847751492162543
1254500.0,-2.725348861721847
1436000.0,0.0010792959404054424
776000.0,-0.00847647785301909
825500.0,-0.00847647785301909
1568000.0,0.002455029981569925
1617500.0,-0.29868790102251525
1056500.0,-1.061385304929409
1106000.0,-0.0034839367773206553
644000.0,-0.008309620145655245
